track_uri,artist_uri,genres
spotify:track:sample0000,spotify:artist:sample000,indie pop
spotify:track:sample0001,spotify:artist:sample001,electronic
spotify:track:sample0002,spotify:artist:sample002,alternative
spotify:track:sample0003,spotify:artist:sample003,ambient
spotify:track:sample0004,spotify:artist:sample004,indie pop
spotify:track:sample0005,spotify:artist:sample005,electronic
spotify:track:sample0006,spotify:artist:sample006,alternative
spotify:track:sample0007,spotify:artist:sample007,ambient
spotify:track:sample0008,spotify:artist:sample000,indie pop
spotify:track:sample0009,spotify:artist:sample001,electronic
spotify:track:sample0010,spotify:artist:sample002,alternative
spotify:track:sample0011,spotify:artist:sample003,ambient
spotify:track:sample0012,spotify:artist:sample004,indie pop
spotify:track:sample0013,spotify:artist:sample005,electronic
spotify:track:sample0014,spotify:artist:sample006,alternative
spotify:track:sample0015,spotify:artist:sample007,ambient
spotify:track:sample0016,spotify:artist:sample000,indie pop
spotify:track:sample0017,spotify:artist:sample001,electronic
spotify:track:sample0018,spotify:artist:sample002,alternative
spotify:track:sample0019,spotify:artist:sample003,ambient
spotify:track:sample0020,spotify:artist:sample004,indie pop
spotify:track:sample0021,spotify:artist:sample005,electronic
spotify:track:sample0022,spotify:artist:sample006,alternative
spotify:track:sample0023,spotify:artist:sample007,ambient
spotify:track:sample0024,spotify:artist:sample000,indie pop
spotify:track:sample0025,spotify:artist:sample001,electronic
spotify:track:sample0026,spotify:artist:sample002,alternative
spotify:track:sample0027,spotify:artist:sample003,ambient
spotify:track:sample0028,spotify:artist:sample004,indie pop
spotify:track:sample0029,spotify:artist:sample005,electronic
spotify:track:sample0030,spotify:artist:sample006,alternative
spotify:track:sample0031,spotify:artist:sample007,ambient
spotify:track:sample0032,spotify:artist:sample000,indie pop
spotify:track:sample0033,spotify:artist:sample001,electronic
spotify:track:sample0034,spotify:artist:sample002,alternative
spotify:track:sample0035,spotify:artist:sample003,ambient
spotify:track:sample0036,spotify:artist:sample004,indie pop
spotify:track:sample0037,spotify:artist:sample005,electronic
spotify:track:sample0038,spotify:artist:sample006,alternative
spotify:track:sample0039,spotify:artist:sample007,ambient
